run,category,source,target,input,status,result,response_time_ms,translation
"1","basic translation","en","es","How are you?","200","PASS","2312","¿Cómo estás?"
"2","basic translation","en","es","How are you?","200","PASS","2672","¿Cómo estás?"
"3","basic translation","en","es","How are you?","200","PASS","1732","¿Cómo estás?"
"4","basic translation","en","es","How are you?","200","PASS","1713","¿Cómo estás?"
"5","basic translation","en","es","How are you?","200","PASS","2262","¿Cómo estás?"
"6","basic translation","en","es","How are you?","200","PASS","1381","¿Cómo estás?"
"7","basic translation","en","es","How are you?","200","PASS","1700","¿Cómo estás?"
"8","basic translation","en","es","How are you?","200","PASS","2248","¿Cómo estás?"
"9","basic translation","en","es","How are you?","200","PASS","1305","¿Cómo estás?"
"10","basic translation","en","es","How are you?","200","PASS","1853","¿Cómo estás?"
"1","basic translation","en","es","Where is the train station?","200","PASS","1586","¿Dónde está la estación de tren?"
"2","basic translation","en","es","Where is the train station?","200","PASS","1692","¿Dónde está la estación de tren?"
"3","basic translation","en","es","Where is the train station?","200","PASS","1602","¿Dónde está la estación de tren?"
"4","basic translation","en","es","Where is the train station?","200","PASS","2883","¿Dónde está la estación de tren?"
"5","basic translation","en","es","Where is the train station?","200","PASS","1565","¿Dónde está la estación de tren?"
"6","basic translation","en","es","Where is the train station?","200","PASS","1699","¿Dónde está la estación de tren?"
"7","basic translation","en","es","Where is the train station?","200","PASS","1575","¿Dónde está la estación de tren?"
"8","basic translation","en","es","Where is the train station?","200","PASS","1569","¿Dónde está la estación de tren?"
"9","basic translation","en","es","Where is the train station?","200","PASS","1526","¿Dónde está la estación de tren?"
"10","basic translation","en","es","Where is the train station?","200","PASS","1587","¿Dónde está la estación de tren?"
"1","basic translation","en","es","It's raining cats and dogs.","200","PASS","1719","Está lloviendo a cántaros."
"2","basic translation","en","es","It's raining cats and dogs.","200","PASS","1867","Está lloviendo a cántaros."
"3","basic translation","en","es","It's raining cats and dogs.","200","PASS","1486","Está lloviendo a cántaros."
"4","basic translation","en","es","It's raining cats and dogs.","200","PASS","1508","Está lloviendo a cántaros."
"5","basic translation","en","es","It's raining cats and dogs.","200","PASS","1540","Está lloviendo a cántaros."
"6","basic translation","en","es","It's raining cats and dogs.","200","PASS","1430","Está lloviendo a cántaros."
"7","basic translation","en","es","It's raining cats and dogs.","200","PASS","1497","Está lloviendo a cántaros."
"8","basic translation","en","es","It's raining cats and dogs.","200","PASS","1416","Está lloviendo a cántaros."
"9","basic translation","en","es","It's raining cats and dogs.","200","PASS","2363","Está lloviendo a cántaros."
"10","basic translation","en","es","It's raining cats and dogs.","200","PASS","1561","Está lloviendo a cántaros."
"1","basic translation","en","es","I deposited money at the bank.","200","PASS","1571","Deposité dinero en el banco."
"2","basic translation","en","es","I deposited money at the bank.","200","PASS","1409","Deposité dinero en el banco."
"3","basic translation","en","es","I deposited money at the bank.","200","PASS","1462","Deposité dinero en el banco."
"4","basic translation","en","es","I deposited money at the bank.","200","PASS","1453","Deposité dinero en el banco."
"5","basic translation","en","es","I deposited money at the bank.","200","PASS","1633","Deposité dinero en el banco."
"6","basic translation","en","es","I deposited money at the bank.","200","PASS","1481","Deposité dinero en el banco."
"7","basic translation","en","es","I deposited money at the bank.","200","PASS","1457","Deposité dinero en el banco."
"8","basic translation","en","es","I deposited money at the bank.","200","PASS","1819","Deposité dinero en el banco."
"9","basic translation","en","es","I deposited money at the bank.","200","PASS","1879","Deposité dinero en el banco."
